priority,year,title,authors,venue,topic,why,doi,landing,pdf,access,auto_download
A,2024,Amortized Bayesian Parameter Estimation Approach for WECC Composite Load Model,Bendong Tan; Junbo Zhao; Nan Duan,IEEE Transactions on Power Systems 39(1):1517-1529,摊销 Bayesian 参数估计 / CMPLDWG,通过敏感度、轨迹表示和条件流学习参数后验，是 2025 高维 Bayesian 工作的前身。,10.1109/TPWRS.2023.3250579,https://doi.org/10.1109/TPWRS.2023.3250579,,publisher / author copy may be available,no
A,2025,基于TD3算法的含分布式光伏综合负荷模型参数在线辨识,尹雁和; 钟毅; 贺怡; 李国号; 李卓环; 潘世贤,太阳能学报 46(7):710-719,深度强化学习 TD3 / 光伏综合负荷 / 在线辨识,将深度强化学习真正用于新型综合负荷参数在线辨识，与 Agent/RL 路线直接相关。,10.19912/j.0254-0096.tynxb.2024-0464,https://www.tynxb.org.cn/CN/Y2025/V46/I7,,official issue page shows PDF,no
A,2024,Online modeling method for composite load model including EVs and battery storage based on measurement data,Yanhe Yin; Yi Zhong; Yi He; Guohao Li; Zhuohuan Li; Shixian Pan,Frontiers in Energy Research 12:1378067,EV + 储能 / 在线综合负荷建模 / 测量数据,把 EV 和 BESS 纳入时变综合负荷，并基于测量数据做在线建模。,10.3389/fenrg.2024.1378067,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2024.1378067/full,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2024.1378067/pdf,OA,yes
A,2024,Dynamic equivalent modelling for active distributed network considering adjustable loads charging characteristics,Jingwen Wang; Jiehui Zheng; Zhigang Li; et al.,"IET Generation, Transmission & Distribution 18(24):4154-4167",有源配电网动态等值 / EV / 深度强化学习,ZIP+电机结构下，用四层三阶段深度强化学习辨识关键参数，同时识别可调节负荷。,10.1049/gtd2.13344,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/gtd2.13344,https://ietresearch.onlinelibrary.wiley.com/doi/pdfdirect/10.1049/gtd2.13344,OA/best-effort direct,yes
A,2026,Machine learning-based multi-time-scale coupled equivalent modelling of active distribution networks under disturbances,Jingwen Wang; Jiehui Zheng; Yan Chen; Qinghua Wu,International Journal of Electrical Power & Energy Systems 175:111639,多时间尺度 / 有源配电网等值 / DRL + BiLSTM,把长时间尺度和短时间尺度分别建模再耦合，是时变模型演化的重要相邻工作。,10.1016/j.ijepes.2026.111639,https://doi.org/10.1016/j.ijepes.2026.111639,,OA publisher,no
A,2025,Dynamic Equivalence of Active Distribution Network: Multiscale and Multimodal Fusion Deep Learning Method with Automatic Parameter Tuning,see publisher,Mathematics 13(19):3213,多尺度多模态深度学习 / 自动调参 / ADN,强调动态等值中的结构与自动参数调节，适合作为现代深度学习基线。,10.3390/math13193213,https://www.mdpi.com/2227-7390/13/19/3213,https://www.mdpi.com/2227-7390/13/19/3213/pdf?download=1,OA,yes
A,2025,Adversarial Learning as a PMU Signal Filtering Technique in Load Models Identification,Joffre R. Constante; D. G. Colomé; Diego Echeverria; et al.,IEEE Access 13:100601-100613,PMU 环境数据 / 自动去噪 / 对抗学习,模型辨识前的数据质量层，面向在线自动化系统很关键。,10.1109/ACCESS.2025.3577897,https://doi.org/10.1109/ACCESS.2025.3577897,,"OA (CC BY), direct IEEE link resolved by browser",no
B,2024,Noise Amplitude in Ambient PMU Data and its Impact on Load Models Identification,Joffre Remigio Constante Segura; Graciela Colomé; Diego Echeverría,IEEE Latin America Transactions 22(8):678-685,PMU 噪声 / 在线辨识实验设计,给出真实 PMU 环境噪声量级，对未来实验的噪声设置和 benchmark 很实用。,10.1109/TLA.2024.10620390,https://latamt.ieeer9.org/index.php/transactions/article/view/8878,https://latamt.ieeer9.org/index.php/transactions/article/download/8878/2449/113533,public PDF,yes
A,2025,Developing dynamic models of inverter-based motor loads using active probing-based system identification techniques,Harshit Varshney; Himanshu Jain,Electric Power Systems Research 248:111906,逆变器电机负荷 / 主动探测 / 系统辨识 / 硬件验证,把主动实验设计引入黑箱电力电子负荷建模；与未来 Falsification/Active Experiment Agent 很贴近。,10.1016/j.epsr.2025.111906,https://doi.org/10.1016/j.epsr.2025.111906,,paywall/request,no
B,2025,Applications of Electrical Load Modelling in Digital Twins of Power Systems,see publisher,Energies 18(4):775,负荷建模综述 / 数字孪生,更新版综合综述，补充数字孪生语境下负荷模型的应用与未来研究需求。,10.3390/en18040775,https://www.mdpi.com/1996-1073/18/4/775,https://mdpi-res.com/d_attachment/energies/energies-18-00775/article_deploy/energies-18-00775.pdf,OA,yes
S,2025,面向新型电力系统的负荷模型研究综述,陶劲宇; 秦川; 金宇清; 鞠平; 李建华,电力系统保护与控制 53(5):168-187,最新中文负荷模型综述 / 电力电子负荷 / 分布式电源 / EMT,建议作为你手头 2020 综述的 2025 更新版，覆盖新型负荷和新仿真需求。,10.19783/j.cnki.pspc.240390,https://www.dlbh.net/dlbh/article/abstract/240390,https://www.dlbh.net/dlbh/article/pdf/240390,OA/best-effort direct,yes
B,2024,Synthesis Load Model With Renewable Energy Sources for Transient Stability Studies,Tiankai Lan; Huadong Sun; Qi Wang; Bing Zhao; et al.,IEEE Transactions on Power Systems 39(1):1647-1663,新能源广义综合负荷 / 工程实践,把 RES 纳入综合负荷模型并讨论参数聚合、电压层次和线路损耗，属于广义负荷模型工程主线。,10.1109/TPWRS.2023.3250648,https://doi.org/10.1109/TPWRS.2023.3250648,,publisher/request,no
B,2021,"A Dynamic Equivalent of Active Distribution Network: Derivation, Update, Validation and Use Cases",Gilles Chaspierre; Guillaume Denis; Patrick Panciatici; Thierry Van Cutsem,IEEE Open Access Journal of Power and Energy 8:497-509,灰箱动态等值 / 在线更新 / ADN,明确研究运行条件变化后只更新必要参数，避免整体重新辨识，是模型持续维护路线的重要基础。,10.1109/OAJPE.2021.3102499,https://resourcecenter.ieee-pes.org/publications/oajpe-open-access-papers/pes_tp_oajpe-00039-2021_12-21,,OA landing,no
S,2018,Model selection mechanism of Interactive Multiple Load Modeling,Zhenshu Wang; Na Ji; Yangyang Ma; Zhanjie Liu; Yu Wang,International Journal of Electrical Power & Energy Systems 103:58-66,IMLM / 动态模型选择 / 最优模型集,卞绍润博士论文的直接前驱：从总体模型集中自适应选择最佳模型集。,10.1016/j.ijepes.2018.05.027,https://doi.org/10.1016/j.ijepes.2018.05.027,,paywall/request,no
S,2020,Input interaction and output fusion of adaptive interacting multiple load modeling,Shaorun Bian; Zhenshu Wang; Na Ji; Xiaodong Chu; Zixuan Du; Qingqing Yin,International Journal of Electrical Power & Energy Systems 117:105674,AIMLM / Markov 切换 / EKF / 输出融合,卞绍润 2024 博士论文的核心发表工作之一，也是 IIMM/AIMLM 直接文献。,10.1016/j.ijepes.2019.105674,https://doi.org/10.1016/j.ijepes.2019.105674,,paywall/request,no
A,2023,Feature extraction and classification of time-varying power load characteristics based on PCANet and CNN+Bi-LSTM algorithms,Shaorun Bian; Zhenshu Wang; Wenhao Song; Xinhui Zhou,Electric Power Systems Research 217:109149,时变负荷 / 季节分类 / PCANet + CNN+BiLSTM,卞绍润 2024 论文中长期时变特性那条线的直接发表版本。,10.1016/j.epsr.2023.109149,https://doi.org/10.1016/j.epsr.2023.109149,,paywall,no
B,2024,Dynamic equivalent model of active distribution networks providing frequency-related ancillary services to the transmission system,see publisher,Applied Energy 367:123288,ADN 聚合动态模型 / 频率支撑,研究新能源配电网从负荷变成主动动态资源后的等值模型。,10.1016/j.apenergy.2024.123288,https://doi.org/10.1016/j.apenergy.2024.123288,,publisher,no
B,2026,Avoiding flawed transmission system stability assessments with improved equivalent models of active distribution networks,Jakob Ungerland; Wolfgang Biener; Christian Schöll,International Journal of Electrical Power & Energy Systems,ADN 等值 / 模型验证 / GFM-GFL 聚合,强调错误等值模型会直接造成错误稳定性判断，适合做 verifier 和下游任务评价依据。,10.1016/j.ijepes.2026.111827,https://doi.org/10.1016/j.ijepes.2026.111827,,publisher,no
B,2026,Data Centre Model for Transient Stability Analysis of Power Systems,Jiménez-Ruiz et al.; Federico Milano,"IET Generation, Transmission & Distribution",AI 数据中心新型负荷 / UPS / 冷却电机 / 脉冲负荷,代表 2026 新型大电子负荷建模前沿，说明负荷库还在快速出现全新设备类别。,10.1049/gtd2.70381,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/gtd2.70381,https://arxiv.org/pdf/2505.16575,arXiv OA,yes
B,2026,Dynamic Load Model for Data Centers with Pattern-Consistent Calibration,Siyu Lu; Chenhan Xiao; Yang Weng,arXiv,数据中心动态负荷 / 物理结构 + 数据校准 / 隐私,物理模型结构结合真实运行数据校准，且考虑随机负荷的模式一致性而非逐轨迹过拟合。,,https://arxiv.org/abs/2602.07859,https://arxiv.org/pdf/2602.07859,OA,yes
B,2026,Dynamic Modeling of Data-Center Power Delivery for Power System Resonance Analysis,Xingyu Zhao; Junbo Zhao,arXiv,数据中心电力电子链路 / 多时间尺度 / 谐振,从新型负荷内部控制链路推导可接入电网仿真的动态模型，适合作为新设备结构库参考。,,https://arxiv.org/abs/2604.06624,https://arxiv.org/pdf/2604.06624,OA,yes
