id,priority,category,year,title,authors,venue,scope,relation,url,landing
A11,高,01_直接结构不确定性_FreeForm_SR,2023,Automated Learning of Interpretable Models with Quantified Uncertainty,G. F. Bomarito et al.,CMAME 2023,Bayesian GPSR / model evidence,Bayesian GPSR，用 marginal likelihood 参与 GP 选择，联合模型证据和参数 UQ，是 Bomarito posterior-sampling 路线的前身。,https://arxiv.org/pdf/2205.01626.pdf,https://arxiv.org/abs/2205.01626
A12,中,01_直接结构不确定性_FreeForm_SR,2022,Bayesian Model Selection for Reducing Bloat and Overfitting in Genetic Programming for Symbolic Regression,Geoffrey F. Bomarito et al.,GECCO Companion 2022,Bayesian model selection,早期用 Bayesian model evidence 取代纯误差 fitness，重点是 model selection、复杂度和噪声鲁棒性。,https://ntrs.nasa.gov/api/citations/20220001900/downloads/smcbingo_gecco22.pdf,https://ntrs.nasa.gov/citations/20220001900
A13,中,01_直接结构不确定性_FreeForm_SR,2024,Comparing Methods for Estimating Marginal Likelihood in Symbolic Regression,Patrick Leser; Geoffrey Bomarito; Gabriel Kronberger; Fabricio Olivetti de Franca,GECCO 2024,marginal likelihood,比较 SMC 与 Laplace 对 symbolic model marginal likelihood 的估计，直接影响多个候选结构的 Bayesian 排序。,https://ntrs.nasa.gov/api/citations/20240007699/downloads/gecco_2024_final.pdf,https://ntrs.nasa.gov/citations/20240007699
A14,中,01_直接结构不确定性_FreeForm_SR,2014,Ensemble Bayesian Model Averaging in Genetic Programming,Alexandros Agapitos; Michael O'Neill; Anthony Brabazon,IEEE CEC 2014,GP model averaging,明确指出选一个 GP 模型会忽略 model-selection uncertainty，采用 Bayesian Model Averaging 对种群中的竞争模型加权。,,https://www.researchgate.net/publication/286604508_Ensemble_Bayesian_Model_Averaging_in_Genetic_Programming
A15,中,01_直接结构不确定性_FreeForm_SR,2023,GFN-SR: Symbolic Regression with Generative Flow Networks,Sida Li; Ioana Marinescu; Sebastian Musslick,arXiv / OpenReview 2023,多样结构生成,不是严格 Bayesian posterior，但目标是生成多样化高奖励表达式，适合作为结构分布生成器/候选集合基线。,https://arxiv.org/pdf/2312.00396.pdf,https://arxiv.org/abs/2312.00396
B01,必读,02_符号等价类_Equivalence,2025,EGG-SR: Embedding Symbolic Equivalence into Symbolic Regression via Equality Graph,Nan Jiang; Ziyi Wang; Yexiang Xue,arXiv 2025,语义等价类,用 e-graph 合并数学等价但语法不同的表达式，并集成 MCTS、DRL、LLM。做结构 posterior 时非常关键，否则概率质量会被等价语法形式人为分裂。,https://arxiv.org/pdf/2511.05849.pdf,https://arxiv.org/abs/2511.05849
B02,高,02_符号等价类_Equivalence,2025,Improving Genetic Programming for Symbolic Regression with Equality Graphs,Fabricio Olivetti de Franca; Gabriel Kronberger,GECCO 2025,e-graph / equivalence,用 equality graph 检测已访问的等价表达式，减少搜索重复，为“结构等价类而非语法树”提供工程基础。,https://arxiv.org/pdf/2501.17848.pdf,https://arxiv.org/abs/2501.17848
C01,必读,03_主动区分结构_Active_Discrimination,2025,Active Learning in Genetic Programming: Guiding Efficient Data Collection for Symbolic Regression,Nathan Haut; Wolfgang Banzhaf; Bill Punch,IEEE TEC 2025,SR active learning,直接用 GP population ensemble 的 disagreement / differential entropy 选择最有信息量的新数据点，和“候选方程分不清就主动采数据”高度相关。,https://arxiv.org/pdf/2308.00672.pdf,https://arxiv.org/abs/2308.00672
C02,高,03_主动区分结构_Active_Discrimination,2022,Active Learning Improves Performance on Symbolic Regression Tasks in StackGP,Nathan Haut; Wolfgang Banzhaf; Bill Punch,GECCO 2022,SR active learning,较早的 SR 主动学习工作，通过模型集合预测不确定性选择新样本。,https://arxiv.org/pdf/2202.04708.pdf,https://arxiv.org/abs/2202.04708
C03,必读,03_主动区分结构_Active_Discrimination,2022,"Ensemble-SINDy: Robust sparse model discovery in the low-data, high-noise limit, with active learning and control",Urban Fasel et al.,Proceedings of the Royal Society A 2022,dictionary structure UQ + active learning,用 ensemble 产生候选项 inclusion probability，并用 forecast variance 选择高不确定区域采样，展示结构 UQ 与 active learning 的完整闭环。,https://arxiv.org/pdf/2111.10992.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9006119/
C04,必读,03_主动区分结构_Active_Discrimination,2025,Optimal experiment design for practical parameter identifiability and model discrimination,Y. Liu; P. K. Maini; R. E. Baker,arXiv 2025,optimal experiment / model discrimination,模型区分部分直接设计输入，使 rival models 的预测差异最大，是把 SR 结构 posterior 推进到主动证伪的通用方法基础。,https://arxiv.org/pdf/2506.11311.pdf,https://arxiv.org/abs/2506.11311
C05,高,03_主动区分结构_Active_Discrimination,2009,Optimal Experimental Design for Model Discrimination,Jay I. Myung; Mark A. Pitt,Psychological Review 2009,model discrimination foundation,经典 model discrimination OED：选择使竞争模型最可区分的实验设计，是“主动找证据区分公式”的理论祖先。,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2743521/
C06,中,03_主动区分结构_Active_Discrimination,2009,An anticipatory approach to optimal experimental design for model discrimination,Brecht M. R. Donckels et al.,Chemometrics and Intelligent Laboratory Systems 2009,dynamic-model discrimination,针对 rival dynamic models 主动设计最能区分模型的实验条件，并显式考虑预测与测量不确定性。,https://modeleau.fsg.ulaval.ca/fileadmin/modeleau/documents/Publications/pvr870.pdf,https://biblio.ugent.be/publication/693724
D01,高,04_固定字典的结构不确定性_Dictionary_Based,2021,Equation discovery for nonlinear dynamical systems: A Bayesian viewpoint,R. Fuentes et al.,Mechanical Systems and Signal Processing 2021,固定字典结构选择,Bayesian sparse structure detection + parameter estimation，但结构只能从预定义 dictionary 中选项，适合作为结构 UQ 的受限版前身。,https://eprints.whiterose.ac.uk/id/eprint/169192/6/mssp_20_submitted_final_proof.pdf,https://eprints.whiterose.ac.uk/id/eprint/169192/
D02,高,04_固定字典的结构不确定性_Dictionary_Based,2021,On spike-and-slab priors for Bayesian equation discovery of nonlinear dynamical systems via sparse linear regression,Rajdip Nayek; Ramon Fuentes; Keith Worden; Elizabeth J. Cross,Mechanical Systems and Signal Processing 2021,固定字典 support posterior,对 dictionary basis 是否进入方程做 Bayesian variable selection，后验样本同时用于结构选择与参数估计。,https://arxiv.org/pdf/2012.01937.pdf,https://arxiv.org/abs/2012.01937
D03,高,04_固定字典的结构不确定性_Dictionary_Based,2022,Sparsifying Priors for Bayesian Uncertainty Quantification in Model Discovery,Seth M. Hirsh; David A. Barajas-Solano; J. Nathan Kutz,Royal Society Open Science 2022,SINDy inclusion probability,UQ-SINDy 不只估参数，还给 candidate function inclusion probability，是固定字典里的结构不确定性量化。,https://arxiv.org/pdf/2107.02107.pdf,https://arxiv.org/abs/2107.02107
D04,中,04_固定字典的结构不确定性_Dictionary_Based,2024,Equation Discovery with Bayesian Spike-and-Slab Priors and Efficient Kernels,Da Long et al.,AISTATS 2024,operator/support posterior,KBASS 用 Bayesian spike-and-slab 做 operator selection 与 UQ，适合对照自由形式 SR 的结构 posterior。,https://arxiv.org/pdf/2310.05387.pdf,https://proceedings.mlr.press/v238/long24a.html
D05,中,04_固定字典的结构不确定性_Dictionary_Based,2024,Rapid Bayesian identification of sparse nonlinear dynamics from scarce and noisy data,David A. B. et al.,arXiv 2024,Bayesian sparse dynamics,快速 Bayesian-SINDy，重点是稀疏动力学结构与不确定性，对主动学习和动态系统场景有参考价值。,https://arxiv.org/pdf/2402.15357.pdf,https://arxiv.org/abs/2402.15357
D06,中,04_固定字典的结构不确定性_Dictionary_Based,2024,"Bayesian autoencoders for data-driven discovery of coordinates, governing equations and fundamental constants",Gao; Kutz,arXiv / scientific ML,Bayesian SINDy autoencoder,联合 latent coordinate discovery 与 Bayesian equation discovery，提供模型结构及潜变量不确定性的扩展视角。,https://arxiv.org/pdf/2211.10575.pdf,https://arxiv.org/abs/2211.10575
E01,边界必读,05_术语边界_Structural_Identifiability,2026,Comprehensive Framework for Model Discovery and Discrimination Based on Symbolic Regression and Structural Identifiability,Xuming Yuan; Brahim Benyahia,PSE Community 2026,参数/状态结构可辨识性,把 SR 与 structural identifiability/observability 接起来，但这里的 identifiability 主要指给定模型的参数与状态唯一性。用于界定术语，避免和“多个方程结构难区分”混淆。,https://psecommunity.org/wp-content/plugins/wpor/includes/file/2606/LAPSE-2026.0381-1v1.pdf,https://psecommunity.org/LAPSE%3A2026.0381v1
E02,边界,05_术语边界_Structural_Identifiability,2026,PyCC.id: A package for hypothesis-driven equation discovery with structural identifiability,Federico J. Gonzalez,arXiv 2026,hypothesis skeleton / identifiability,用 hypothesis skeleton + structural identifiability 检查候选 ODE family。与结构选择有关，但概念仍偏传统结构可辨识性。,https://arxiv.org/pdf/2606.05191.pdf,https://arxiv.org/abs/2606.05191
E03,边界,05_术语边界_Structural_Identifiability,2008,Incorporating Model Identifiability into Equation Discovery of ODE Systems,Dirk De Pauw; Bernard De Baets,GECCO 2008,传统 identifiability + equation discovery,早期把 identifiability 指标放进 equation discovery fitness。重要历史文献，但核心仍是参数可辨识性而非自由形式结构 posterior。,https://gpbib.cs.ucl.ac.uk/gecco2008/docs/p2135.pdf,https://gpbib.cs.ucl.ac.uk/gp-html/dePauw_2008_GECCO.html
